x,y
0,0.2885515512807122
1,0.45635354359464864
2,0.8127046998004112
3,0.29256492425172
4,0.06679015958003864
5,0.8953803496027123
6,0.02948801537275736
7,0.9877035914731983
8,0.5922686092924647
9,0.3164564452406704
10,0.06186125662052078
11,0.3048457573716573
12,0.3682802373344073
13,0.46122356854222335
14,0.36781991942009107
15,0.29083817793535915
16,0.9752675474630967
17,0.8523326228585477
18,0.5747310158627337
19,0.13443562188408165
20,0.10568451658947242
21,0.3896613871290716
22,0.6964403355586893
23,0.5524488450824725
24,0.09553901664657705
25,0.8473277371346045
26,0.10855971850437596
27,0.23951591781469495
28,0.4386101164661631
29,0.07249924726323709
30,0.5590521156059179
31,0.9405731668756264
32,0.4094866771725961
33,0.07258285895328531
34,0.6423533891022515
35,0.21448696579832105
36,0.13719695677786248
37,0.5054532312645
38,0.4011523560058762
39,0.8080228981107881
40,0.1745609250753507
41,0.19719800970728263
42,0.08793080989137425
43,0.9198668387104604
44,0.8561097511026164
45,0.2825428078885922
46,0.5184538053797951
47,0.12184599168491261
48,0.32252677490515136
49,0.45405260513268586
50,0.37206410225398057
51,0.8676990470038642
52,0.4761659391801797
53,0.7547779014957521
54,0.517828912482517
55,0.4330932106069032
56,0.041035760780248065
57,0.3967647876227477
58,0.7420823162853217
59,0.710764800832111
60,0.7312422397965652
61,0.31985513572027147
62,0.9425682667798768
63,0.3254843797901934
64,0.20361629076525567
65,0.22731782323864314
66,0.2996995517048803
67,0.06991571611701464
68,0.20853234120917885
69,0.22492443356025715
70,0.5121402004426712
71,0.5323682200469373
72,0.38987763289551114
73,0.27773230467044396
74,0.5998059587916621
75,0.980601394539288
76,0.10892201887398845
77,0.012682279440050404
78,0.4757844955678009
79,0.921875383400955
80,0.8704103632065419
81,0.2169497574103456
82,0.46595391828658006
83,0.8336571524448605
84,0.1756878766771105
85,0.7866482535366245
86,0.970121272718261
87,0.6096851057719279
88,0.6872603537336671
89,0.9141259756204049
90,0.40054641847385364
91,0.7242520303152804
92,0.5801848536806592
93,0.4276166243113726
94,0.8464230723443539
95,0.6413643502377228
96,0.5880109948466329
97,0.13054947155072072
98,0.03930189920762206
99,0.4442756251695109
